Id,Name,Proposed Analyzer,Existing Analyzer,Title,Description,VS Built-In,Triggered,Suppressed,% Suppressed,Rank,Category,Revised Priority,Original Priority,Port?,Default state,Notes,Dependency
CA1003,UseGenericEventHandlerInstances,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Use generic event handler instances,"A type contains a delegate that returns void, whose signature contains two parameters (the first an object and the second a type that is assignable to EventArgs), and the containing assembly targets Microsoft .NET Framework?2.0.",Yes,198562,724,0.003646216,1452.984604,Design,,High,Ported,,,
CA1008,EnumsShouldHaveZeroValue,Microsoft.ApiDesignGuidelines,Microsoft.AnalyzerPowerPack,Enums should have zero value,"The default value of an uninitialized enumeration, just as other value types, is zero. A nonflags-attributed enumeration should define a member by using the value of zero so that the default value is a valid value of the enumeration. If an enumeration that has the FlagsAttribute attribute applied defines a zero-valued member, its name should be """"None"""" to indicate that no values have been set in the enumeration.",Yes,569246,1776,0.003119917,1844.696789,Design,,High,Ported,,,
CA1012,AbstractTypesShouldNotHaveConstructors,Microsoft.ApiDesignGuidelines,Microsoft.AnalyzerPowerPack,Abstract types should not have constructors,"Constructors on abstract types can be called only by derived types. Because public constructors create instances of a type, and you cannot create instances of an abstract type, an abstract type that has a public constructor is incorrectly designed.",Yes,379125,425,0.001121002,4976.602085,Design,,High,Ported,,,
CA1014,MarkAssembliesWithClsCompliant,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Mark assemblies with CLSCompliant,"The Common Language Specification (CLS) defines naming restrictions, data types, and rules to which assemblies must conform if they will be used across programming languages. Good design dictates that all assemblies explicitly indicate CLS compliance by using CLSCompliantAttribute . If this attribute is not present on an assembly, the assembly is not compliant.",Yes,2586566,4600,0.00177842,3605.854943,Design,,High,Ported,,,
CA1016,MarkAssembliesWithAssemblyVersion,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Mark assemblies with assembly version,"The .NET Framework uses the version number to uniquely identify an assembly, and to bind to types in strongly named assemblies. The version number is used together with version and publisher policy. By default, applications run only with the assembly version with which they were built.",Yes,320791,821,0.002559299,2151.457391,Design,,High,Ported,,,
CA1020,AvoidNamespacesWithFewTypes,Microsoft.ApiDesignGuidelines,#N/A,Avoid namespaces with few types,"Make sure that each of your namespaces has a logical organization, and that a valid reason exists for putting types in a sparsely populated namespace.",Yes,1946199,15579,0.008004834,785.6736586,Design,,High,No,,assembly factoring makes this noisy,None
CA1021,AvoidOutParameters,Microsoft.ApiDesignGuidelines,#N/A,Avoid out parameters,"Passing types by reference (using out or ref) requires experience with pointers, understanding how value types and reference types differ, and handling methods with multiple return values. Also, the difference between out and ref parameters is not widely understood.",Yes,673184,9276,0.013779294,422.9631753,Design,,Low,Yes,On,,None
CA1023,IndexersShouldNotBeMultidimensional,Microsoft.ApiDesignGuidelines,#N/A,Indexers should not be multidimensional,"Indexers (that is, indexed properties) should use a single index. Multidimensional indexers can significantly reduce the usability of the library.",Yes,33232,70,0.002106403,2146.576642,Design,,Low,Yes,On,,
CA1017,MarkAssembliesWithComVisible,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Mark assemblies with ComVisible,"ComVisibleAttribute determines how COM clients access managed code. Good design dictates that assemblies explicitly indicate COM visibility. COM visibility can be set for the whole assembly and then overridden for individual types and type members. If this attribute is not present, the contents of the assembly are visible to COM clients.",Yes,342998,836,0.002437332,2271.045388,Design,,High,Ported,,,
CA1025,ReplaceRepetitiveArgumentsWithParamsArray,Microsoft.ApiDesignGuidelines,#N/A,Replace repetitive arguments with params array,Use a parameter array instead of repeated arguments when the exact number of arguments is unknown and when the variable arguments are the same type or can be passed as the same type.,Yes,11210,87,0.007760928,521.7940105,Design,,Low,No,,Only catches case when somebody doesn't know about params,
CA1026,DefaultParametersShouldNotBeUsed,Microsoft.ApiDesignGuidelines,#N/A,Default parameters should not be used,"Methods that use default parameters are allowed under the CLS; however, the CLS lets compilers ignore the values that are assigned to these parameters. To maintain the behavior that you want across programming languages, methods that use default parameters should be replaced by method overloads that provide the default parameters.",Yes,451901,2791,0.006176131,915.6287078,Design,,High,No,,"Replace with a ""breaking change"" analyzer",
CA1018,MarkAttributesWithAttributeUsage,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Mark attributes with AttributeUsageAttribute,"When you define a custom attribute, mark it by using AttributeUsageAttribute to indicate where in the source code the custom attribute can be applied. The meaning and intended usage of an attribute will determine its valid locations in code.",Yes,114431,178,0.001555523,3251.989963,Design,,High,Ported,,,
CA1028,EnumStorageShouldBeInt32,Microsoft.ApiDesignGuidelines,#N/A,Enum Storage should be Int32,"An enumeration is a value type that defines a set of related named constants. By default, the System.Int32 data type is used to store the constant value. Although you can change this underlying type, it is not required or recommended for most scenarios.",Yes,140302,1177,0.008389046,613.5457553,Design,,High,Yes,,,None
CA1030,UseEventsWhereAppropriate,Microsoft.ApiDesignGuidelines,#N/A,Use events where appropriate,"This rule detects methods that have names that ordinarily would be used for events. If a method is called in response to a clearly defined state change, the method should be invoked by an event handler. Objects that call the method should raise events instead of calling the method directly.",Yes,191586,926,0.004833339,1092.901669,Design,,High,Yes,,We should check if it has a delegate arg?. FxCop doesn't do that.,WordParser
CA1031,DoNotCatchGeneralExceptionTypes,Microsoft.ApiDesignGuidelines,#N/A,Do not catch general exception types,"General exceptions should not be caught. Catch a more specific exception, or rethrow the general exception as the last statement in the catch block.",Yes,2802219,35947,0.012828048,502.6097536,Design,,Low,Yes,On,Don't fire if it rethrows (FxCop does this). Don't fire if there's an exception filter. Look for overlap with CA2153.,None (similar CA2153 already ported)
CA1032,ImplementStandardExceptionConstructors,Microsoft.ApiDesignGuidelines,#N/A,Implement standard exception constructors,Failure to provide the full set of constructors can make it difficult to correctly handle exceptions.,Yes,469099,2028,0.004323181,1311.826681,Design,,High,Yes,,Only implement checks for the three public ctors. Existing desktop-only rule catches the Iserializable case.,None
CA1019,DefineAccessorsForAttributeArguments,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Define accessors for attribute arguments,"Attributes can define mandatory arguments that must be specified when you apply the attribute to a target. These are also known as positional arguments because they are supplied to attribute constructors as positional parameters. For every mandatory argument, the attribute should also provide a corresponding read-only property so that the value of the argument can be retrieved at execution time. Attributes can also define optional arguments, which are also known as named arguments. These arguments are supplied to attribute constructors by name and should have a corresponding read/write property.",Yes,134071,354,0.002640392,1941.883928,Design,,High,Ported,,,
CA1034,NestedTypesShouldNotBeVisible,Microsoft.ApiDesignGuidelines,#N/A,Nested types should not be visible,"A nested type is a type that is declared in the scope of another type. Nested types are useful to encapsulate private implementation details of the containing type. Used for this purpose, nested types should not be externally visible.",Yes,1211946,9506,0.007843584,775.5999595,Design,,High,Yes,,,None
CA1035,ICollectionImplementationsHaveStronglyTypedMembers,Microsoft.ApiDesignGuidelines,#N/A,ICollection implementations have strongly typed members,This rule requires ICollection implementations to provide strongly typed members so that users are not required to cast arguments to the Object type when they use the functionality that is provided by the interface. This rule assumes that the type that implements ICollection does so to manage a collection of instances of a type that is stronger than Object.,Yes,84344,611,0.007244143,680.005098,Design,,Low,No,,"CA1010 takes care of it because it requires you to implement Icollection<T>, which has CopyTo<T[]>",
CA1024,UsePropertiesWhereAppropriate,Microsoft.ApiDesignGuidelines,Microsoft.AnalyzerPowerPack,Use properties where appropriate,"A public or protected method has a name that starts with """"Get"""", takes no parameters, and returns a value that is not an array. The method might be a good candidate to become a property.",Yes,1626915,11430,0.007025567,884.1087197,Design,,High,Ported,,,
CA1038,EnumeratorsShouldBeStronglyTyped,Microsoft.ApiDesignGuidelines,#N/A,Enumerators should be strongly typed,This rule requires IEnumerator implementations to also provide a strongly typed version of the Current property so that users are not required to cast the return value to the strong type when they use the functionality that is provided by the interface.,Yes,18244,91,0.004987941,854.2843345,Design,,Low,No,,"CA1010 takes care of it because it requires you to implement a generic collection, whose GetEnumerator method will return Ienumerator<T>.",
CA1039,ListsAreStronglyTyped,Microsoft.ApiDesignGuidelines,#N/A,Lists are strongly typed,This rule requires IList implementations to provide strongly typed members so that users are not required to cast arguments to the System.Object type when they use the functionality that is provided by the interface.,Yes,48572,197,0.004055835,1155.467716,Design,,Low,No,,CA1010 covers this as well.,
CA1040,AvoidEmptyInterfaces,Microsoft.ApiDesignGuidelines,#N/A,Avoid empty interfaces,"Interfaces define members that provide a behavior or usage contract. The functionality that is described by the interface can be adopted by any type, regardless of where the type appears in the inheritance hierarchy. A type implements an interface by providing implementations for the members of the interface. An empty interface does not define any members; therefore, it does not define a contract that can be implemented.",Yes,189655,1043,0.00549946,959.724179,Design,,High,Yes,,,None
CA1041,ProvideObsoleteAttributeMessage,Microsoft.ApiDesignGuidelines,#N/A,Provide ObsoleteAttribute message,"A type or member is marked by using a System.ObsoleteAttribute attribute that does not have its ObsoleteAttribute.Message property specified. When a type or member that is marked by using ObsoleteAttribute is compiled, the Message property of the attribute is displayed. This gives the user information about the obsolete type or member.",Yes,51888,74,0.001426149,3306.153959,Design,,High,Yes,,,
CA1043,UseIntegralOrStringArgumentForIndexers,Microsoft.ApiDesignGuidelines,#N/A,Use integral or string argument for indexers,"Indexers (that is, indexed properties) should use integral or string types for the index. These types are typically used for indexing data structures and they increase the usability of the library. Use of the Object type should be restricted to those cases where the specific integral or string type cannot be specified at design time.",Yes,39552,251,0.006346076,724.4111813,Design,,Low,Yes,,,
CA1044,PropertiesShouldNotBeWriteOnly,Microsoft.ApiDesignGuidelines,#N/A,Properties should not be write only,"Although it is acceptable and often necessary to have a read-only property, the design guidelines prohibit the use of write-only properties. This is because letting a user set a value, and then preventing the user from viewing that value, does not provide any security. Also, without read access, the state of shared objects cannot be viewed, which limits their usefulness.",Yes,282895,935,0.003305113,1649.451905,Design,,High,Yes,,,None
CA1045,DoNotPassTypesByReference,Microsoft.ApiDesignGuidelines,#N/A,Do not pass types by reference,"Passing types by reference (using out or ref) requires experience with pointers, understanding how value types and reference types differ, and handling methods that have multiple return values. Library architects who design for a general audience should not expect users to master working with out or ref parameters.",Yes,523037,4636,0.008863618,645.1691193,Design,,Low,Yes,,,
CA1046,DoNotOverloadOperatorEqualsOnReferenceTypes,Microsoft.ApiDesignGuidelines,#N/A,Do not overload operator equals on reference types,"For reference types, the default implementation of the equality operator is almost always correct. By default, two references are equal only if they point to the same object.",Yes,4107,9,0.002191381,1648.971773,Design,,Low,Yes,,,
CA1047,DoNotDeclareProtectedMembersInSealedTypes,Microsoft.ApiDesignGuidelines,#N/A,Do not declare protected members in sealed types,"Types declare protected members so that inheriting types can access or override the member. By definition, sealed types cannot be inherited, which means that protected methods on sealed types cannot be called.",Yes,19563,96,0.004907223,874.5140813,Design,,Low,Yes,,"1. If VB compiler doesn't warn, implement VB analyzer. 2. In any case, implement fixer.",
CA1048,DoNotDeclareVirtualMembersInSealedTypes,Microsoft.ApiDesignGuidelines,#N/A,Do not declare virtual members in sealed types,"Types declare methods as virtual so that inheriting types can override the implementation of the virtual method. By definition, a sealed type cannot be inherited. This makes a virtual method on a sealed type meaningless.",Yes,5014,6,0.001196649,3092.120705,Design,,Low,Yes,,Error in both C# and VB. Implement fixer.,
CA1049,TypesThatOwnNativeResourcesShouldBeDisposable,Microsoft.ApiDesignGuidelines,#N/A,Types that own native resources should be disposable,Types that allocate unmanaged resources should implement IDisposable to enable callers to release those resources on demand and to shorten the lifetimes of the objects that hold the resources.,Yes,32518,146,0.004489821,1004.967415,Design,,Low,Yes,,,
CA1050,DeclareTypesInNamespaces,Microsoft.ApiDesignGuidelines,#N/A,Declare types in namespaces,Types are declared in namespaces to prevent name collisions and as a way to organize related types in an object hierarchy.,Yes,112547,682,0.006059691,833.5960103,Design,,High,Yes,,Fixes wraps type in namespace and puts you in rename session for the namespace name.,None
CA1051,DoNotDeclareVisibleInstanceFields,Microsoft.ApiDesignGuidelines,#N/A,Do not declare visible instance fields,The primary use of a field should be as an implementation detail. Fields should be private or internal and should be exposed by using properties.,Yes,1291311,22729,0.017601492,347.1882335,Design,High,Low,Yes,,,None
CA1027,MarkEnumsWithFlags,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Mark enums with FlagsAttribute,An enumeration is a value type that defines a set of related named constants. Apply FlagsAttribute to an enumeration when its named constants can be meaningfully combined.,Yes,160610,392,0.002440695,2132.905955,Design,,High,Ported,,,
CA1033,InterfaceMethodsShouldBeCallableByChildTypes,Microsoft.ApiDesignGuidelines,Microsoft.AnalyzerPowerPack,Interface methods should be callable by child types,An unsealed externally visible type provides an explicit method implementation of a public interface and does not provide an alternative externally visible method that has the same name.,Yes,485847,3981,0.008193938,693.9886297,Design,,High,Ported,,,
CA1054,UriParametersShouldNotBeStrings,Microsoft.ApiDesignGuidelines,#N/A,Uri parameters should not be strings,"If a method takes a string representation of a URI, a corresponding overload should be provided that takes an instance of the URI class, which provides these services in a safe and secure manner.",Yes,558646,3283,0.005876709,977.9515459,Design,,High,Yes,,,WordParser
CA1055,UriReturnValuesShouldNotBeStrings,Microsoft.ApiDesignGuidelines,#N/A,Uri return values should not be strings,"This rule assumes that the method returns a URI. A string representation of a URI is prone to parsing and encoding errors, and can lead to security vulnerabilities. The System.Uri class provides these services in a safe and secure manner.",Yes,270886,1742,0.006430749,844.8139037,Design,,High,Yes,,,WordParser
CA1056,UriPropertiesShouldNotBeStrings,Microsoft.ApiDesignGuidelines,#N/A,Uri properties should not be strings,"This rule assumes that the property represents a Uniform Resource Identifier (URI). A string representation of a URI is prone to parsing and encoding errors, and can lead to security vulnerabilities. The System.Uri class provides these services in a safe and secure manner.",Yes,676100,4114,0.006084899,958.1114229,Design,,High,Yes,,,WordParser
CA1057,StringUriOverloadsCallSystemUriOverloads,Microsoft.ApiDesignGuidelines,#N/A,String uri overloads call system uri overloads,"Because the overloads differ only by the string/Uri parameter, the string is assumed to represent a uniform resource identifier (URI). A string representation of a URI is prone to parsing and encoding errors, and can lead to security vulnerabilities. The Uri class provides these services in a safe and secure manner. To reap the benefits of the Uri class, the string overload should call the Uri overload using the string argument.",Yes,24713,131,0.005300854,828.7203597,Design,,Low,Yes,,,
CA1036,OverrideMethodsOnComparableTypes,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Override methods on comparable types,"A public or protected type implements the System.IComparable interface. It does not override Object.Equals nor does it overload the language-specific operator for equality, inequality, less than, or greater than.",Yes,131526,411,0.003124857,1638.158446,Design,,High,Ported,,,
CA1059,MembersShouldNotExposeCertainConcreteTypes,Microsoft.ApiDesignGuidelines,#N/A,Members should not expose certain concrete types,"A concrete type is a type that has a complete implementation and therefore can be instantiated. To enable widespread use of the member, replace the concrete type by using the suggested interface.",Yes,264897,2427,0.009162052,591.9064024,Design,,High,No,,,None
CA1052,StaticHolderTypesShouldBeSealed,Microsoft.ApiDesignGuidelines,Microsoft.AnalyzerPowerPack,Static holder types should be sealed,A public or protected type contains only static members and is not declared by using the sealed (C# Reference) (NotInheritable) modifier. A type that is not meant to be inherited should be marked by using the sealed modifier to prevent its use as a base type.,Yes,161447,235,0.001455586,3577.96092,Design,,High,Ported,,Needs VB fixer.,
CA1061,DoNotHideBaseClassMethods,Microsoft.ApiDesignGuidelines,#N/A,Do not hide base class methods,"A method in a base type is hidden by an identically named method in a derived type, when the parameter signature of the derived method differs only by types that are more weakly derived than the corresponding types in the parameter signature of the base method.",Yes,47204,99,0.00209728,2228.590862,Design,,Low,Yes,,,
CA1062,ValidateArgumentsOfPublicMethods,Microsoft.ApiDesignGuidelines,#N/A,Validate arguments of public methods,All reference arguments that are passed to externally visible methods should be checked against null.,Yes,2267308,29134,0.0128496,494.6076696,Design,,Low,Yes,,,"Dataflow, use IOperation"
CA1063,ImplementIDisposableCorrectly,Microsoft.ApiDesignGuidelines,#N/A,Implement IDisposable Correctly,All IDisposable types should implement the Dispose pattern correctly.,Yes,638117,2035,0.00318907,1820.248439,Design,,High,Yes,,,None
CA1064,ExceptionsShouldBePublic,Microsoft.ApiDesignGuidelines,#N/A,Exceptions should be public,"An internal exception is visible only inside its own internal scope. After the exception falls outside the internal scope, only the base exception can be used to catch the exception. If the internal exception is inherited from T:System.Exception, T:System.SystemException, or T:System.ApplicationException, the external code will not have sufficient information to know what to do with the exception.",Yes,74650,172,0.002304086,2114.951602,Design,High,Low,Yes,,,
CA1065,DoNotRaiseExceptionsInUnexpectedLocations,Microsoft.ApiDesignGuidelines,#N/A,Do not raise exceptions in unexpected locations,A method that is not expected to throw exceptions throws an exception.,Yes,437640,2017,0.004608811,1223.985349,Design,,High,Yes,,,None
CA1300,SpecifyMessageBoxOptions,Desktop,#N/A,Specify MessageBoxOptions,"To correctly display a message box for cultures that use a right-to-left reading order, the RightAlign and RtlReading members of the MessageBoxOptions enumeration must be passed to the Show method.",Yes,283590,2427,0.00855813,637.1358121,Globalization,,Low,Yes,,,None
CA1301,AvoidDuplicateAccelerators,Desktop,#N/A,Avoid duplicate accelerators,"An access key, also known as an accelerator, enables keyboard access to a control by using the ALT key. When multiple controls have duplicate access keys, the behavior of the access key is not well defined.",Yes,2707,16,0.005910602,580.7341068,Globalization,,Low,Yes,,,
CA1302,DoNotHardcodeLocaleSpecificStrings,Desktop,#N/A,Do not hardcode locale specific strings,"The System.Environment.SpecialFolder enumeration contains members that refer to special system folders. The locations of these folders can have different values on different operating systems; the user can change some of the locations; and the locations are localized. The Environment.GetFolderPath method returns the locations that are associated with the Environment.SpecialFolder enumeration, localized and appropriate for the currently running computer.",Yes,13519,71,0.005251868,786.5667551,Globalization,,Low,No,,,
CA1303,DoNotPassLiteralsAsLocalizedParameters,Microsoft.QualityGuidelines,#N/A,Do not pass literals as localized parameters,"An externally visible method passes a string literal as a parameter to a constructor or method in the .NET Framework class library, and that string should be localizable.",Yes,1370581,20484,0.014945487,410.6192633,Globalization,,Low,Yes,,,Dataflow
CA1304,SpecifyCultureInfo,System.Runtime,#N/A,Specify CultureInfo,"A method or constructor calls a member that has an overload that accepts a System.Globalization.CultureInfo parameter, and the method or constructor does not call the overload that takes the CultureInfo parameter. When a CultureInfo or System.IFormatProvider object is not supplied, the default value that is supplied by the overloaded member might not have the effect that you want in all locales.",Yes,1301330,3995,0.003069936,1991.698576,Globalization,,High,Yes,,,None
CA1305,SpecifyIFormatProvider,System.Runtime,#N/A,Specify IFormatProvider,"A method or constructor calls one or more members that have overloads that accept a System.IFormatProvider parameter, and the method or constructor does not call the overload that takes the IFormatProvider parameter. When a System.Globalization.CultureInfo or IFormatProvider object is not supplied, the default value that is supplied by the overloaded member might not have the effect that you want in all locales.",Yes,3114669,26486,0.008503632,763.6044986,Globalization,,High,Yes,,,None
CA1306,SetLocaleForDataTypes,Desktop,#N/A,Set locale for data types,"The locale determines culture-specific presentation elements for data, such as formatting that is used for numeric values, currency symbols, and sort order. When you create a DataTable or DataSet, you should explicitly set the locale.",Yes,486816,1204,0.002473214,2299.584887,Globalization,,Low,Yes,,,Dataflow
CA1307,SpecifyStringComparison,System.Runtime,#N/A,Specify StringComparison,A string comparison operation uses a method overload that does not set a StringComparison parameter.,Yes,1556401,3723,0.002392057,2588.617807,Globalization,,High,Yes,,,None
CA1308,NormalizeStringsToUppercase,System.Runtime,#N/A,Normalize strings to uppercase,Strings should be normalized to uppercase. A small group of characters cannot make a round trip when they are converted to lowercase.,Yes,465112,3117,0.006701612,845.7006816,Naming,,High,Yes,,"High noise, because it's perfectly valid to call ToLower; it's not always used for comparison.",None
CA1053,StaticHolderTypesShouldNotHaveConstructors,Microsoft.ApiDesignGuidelines,#N/A,Static holder types should not have constructors,A public or nested public type declares only static members and has a public or protected default constructor. The constructor is unnecessary because calling static members does not require an instance of the type. The string overload should call the uniform resource identifier (URI) overload by using the string argument for safety and security.,Yes,1300683,3250,0.002498687,2446.953502,Design,,High,Ported,,,
CA1400,PInvokeEntryPointsShouldExist,System.Runtime.InteropServices,#N/A,PInvoke entry points should exist,"No compile-time check is available to make sure that methods that are marked with DllImportAttribute are located in the referenced unmanaged DLL. If no function that has the specified name is in the library, or the arguments to the method do not match the function arguments, the common language runtime throws an exception.",Yes,19083,257,0.013467484,317.8505059,Interoperability,,Low,No,,Belongs in BinSkim? Easier to do in binary analysis.,
CA1058,TypesShouldNotExtendCertainBaseTypes,Desktop,#N/A,Types should not extend certain base types,An externally visible type extends certain base types. Use one of the alternatives.,Yes,134607,292,0.002169278,2364.412358,Design,Low,High,Yes,,,None
CA1402,AvoidOverloadsInComVisibleInterfaces,System.Runtime.InteropServices,#N/A,Avoid overloads in ComVisible interfaces,"When overloaded methods are exposed to COM clients, only the first method overload retains its name. Subsequent overloads are uniquely renamed by appending to the name an underscore character '_' and an integer that corresponds to the order of declaration of the overload.",Yes,36284,88,0.002425311,1880.053464,Interoperability,,Low,Yes,,,
CA1403,AutoLayoutTypesShouldNotBeComVisible,System.Runtime.InteropServices,#N/A,Auto layout types should not be ComVisible,"Auto layout types are managed by the common language runtime. The layout of these types can change between versions of the .NET Framework, which will break COM clients that expect a specific layout. Note that if the StructLayoutAttribute attribute is not specified, the C#, Visual Basic, and C++ compilers specify the Sequential layout for value types.",Yes,46,0,0,,Interoperability,,Low,Yes,,,
CA1404,CallGetLastErrorImmediatelyAfterPInvoke,System.Runtime.InteropServices,#N/A,Call GetLastError immediately after PInvoke,"A platform invoke method accesses unmanaged code and is defined by using the Declare keyword in Visual Basic or the System.Runtime.InteropServices.DllImportAttribute attribute. Generally, upon failure, unmanaged functions call the Win32 SetLastError function to set an error code that is associated with the failure. The caller of the failed function calls the Win32 GetLastError function to retrieve the error code and determine the cause of the failure. The error code is maintained on a per-thread basis and is overwritten by the next call to SetLastError. After a call to a failed platform invoke method, managed code can retrieve the error code by calling the GetLastWin32Error method. Because the error code can be overwritten by internal calls from other managed class library methods, the GetLastError or GetLastWin32Error method should be called immediately after the platform invoke method call.",Yes,32639,62,0.001899568,2376.19124,Interoperability,,Low,Yes,,,Control flow
